# Original Filename:   bc03_ssp_z_0.02_chab.model
# zf:                  3.0
# SFH:                 SSP
# Metallicity (z):     0.02
# IMF:                 Chabrier
# Cosmology:           Om=0.2720 Ol=0.7280 h=0.7040 w=-1.0000
# Magnitude System:    AB
AB# Normalization        M(sloan_i) = -22.055 <type 'type'> mags @ z = 0.1
#
# Column Descriptions:
# 1 redshift
# 2 sloan_r rest-frame absolute magnitude
# 3 sloan_r observed-frame absolute magnitude
# 4 sloan_r apparent mangnitude
# 5 sloan_z rest-frame absolute magnitude
# 6 sloan_z observed-frame absolute magnitude
# 7 sloan_z apparent mangnitude
 0.005 -21.5575 -21.5624  10.0872 -22.2551 -22.2389   9.4107
 0.010 -21.5638 -21.5550  11.6084 -22.2609 -22.2516  10.9118
 0.015 -21.5700 -21.5480  12.5043 -22.2667 -22.2579  11.7944
 0.020 -21.5761 -21.5569  13.1286 -22.2723 -22.2599  12.4255
 0.025 -21.5823 -21.5500  13.6283 -22.2780 -22.2501  12.9283
 0.030 -21.5885 -21.5497  14.0329 -22.2836 -22.2633  13.3193
 0.035 -21.5945 -21.5615  14.3641 -22.2891 -22.2696  13.6559
 0.040 -21.6006 -21.5604  14.6634 -22.2945 -22.2686  13.9551
 0.045 -21.6067 -21.5524  14.9352 -22.3001 -22.2660  14.2216
 0.050 -21.6127 -21.5593  15.1652 -22.3056 -22.2798  14.4447
 0.055 -21.6187 -21.5541  15.3854 -22.3111 -22.2840  14.6555
 0.060 -21.6246 -21.5475  15.5888 -22.3165 -22.2676  14.8687
 0.065 -21.6306 -21.5579  15.7602 -22.3219 -22.2881  15.0299
 0.070 -21.6365 -21.5479  15.9390 -22.3272 -22.2856  15.2013
 0.075 -21.6424 -21.5587  16.0858 -22.3325 -22.2910  15.3534
 0.080 -21.6481 -21.5515  16.2409 -22.3377 -22.2931  15.4993
 0.085 -21.6541 -21.5582  16.3735 -22.3430 -22.2913  15.6404
 0.090 -21.6600 -21.5485  16.5150 -22.3483 -22.3019  15.7615
 0.095 -21.6659 -21.5377  16.6508 -22.3535 -22.3036  15.8849
 0.100 -21.6717 -21.5407  16.7667 -22.3586 -22.3062  16.0012
 0.125 -21.7003 -21.5336  17.2952 -22.3839 -22.3259  16.5029
 0.150 -21.7285 -21.5335  17.7269 -22.4087 -22.3310  16.9294
 0.175 -21.7561 -21.5071  18.1225 -22.4328 -22.3356  17.2940
 0.200 -21.7831 -21.5038  18.4492 -22.4562 -22.3448  17.6081
 0.225 -21.8098 -21.4695  18.7715 -22.4790 -22.3451  17.8959
 0.250 -21.8357 -21.4657  19.0353 -22.5012 -22.3504  18.1506
 0.275 -21.8612 -21.4670  19.2712 -22.5229 -22.3623  18.3759
 0.300 -21.8861 -21.4415  19.5150 -22.5439 -22.3786  18.5779
 0.325 -21.9105 -21.4102  19.7484 -22.5645 -22.3773  18.7814
 0.350 -21.9344 -21.3958  19.9513 -22.5847 -22.3894  18.9576
 0.375 -21.9577 -21.3607  20.1629 -22.6042 -22.4003  19.1233
 0.400 -21.9805 -21.3044  20.3852 -22.6232 -22.4093  19.2802
 0.425 -22.0026 -21.2330  20.6133 -22.6418 -22.4194  19.4269
 0.450 -22.0244 -21.1935  20.8013 -22.6600 -22.4305  19.5643
 0.475 -22.0456 -21.0792  21.0566 -22.6776 -22.4377  19.6981
 0.500 -22.0662 -20.9977  21.2724 -22.6948 -22.4400  19.8302
 0.525 -22.0902 -20.9537  21.4448 -22.7165 -22.4413  19.9571
 0.550 -22.1166 -20.8678  21.6533 -22.7416 -22.4527  20.0684
 0.575 -22.1436 -20.8153  21.8234 -22.7677 -22.4553  20.1834
 0.600 -22.1669 -20.7824  21.9693 -22.7885 -22.4525  20.2991
